Feature,Importance
MonthlyCharges,0.137960808005248
TotalCharges,0.13166684599606300
Contract,0.12316068115272400
tenure,0.1050921037867010
TechSupport,0.09003430857880080
OnlineSecurity,0.07636938185806220
PaymentMethod,0.039790147272759800
OnlineBackup,0.037896183486456100
tenure_bin,0.03664618462415200
Dependents,0.029246931573755500
InternetService,0.029065391183066200
DeviceProtection,0.027493944391588500
Partner,0.024659281859445300
gender,0.02222299128970030
MultipleLines,0.018863672213267200
PaperlessBilling,0.017231393036673800
StreamingMovies,0.016674454455218200
StreamingTV,0.015620166994151500
SeniorCitizen,0.013602171624354100
PhoneService,0.00670295661781294